# Constructed from biom file
#ASV ID	GZ_Bl_1	GZ_Bl_2	GZ_Bl_3	SX_Bl_1	SX_Bl_2	SX_Bl_3	GZ_Rs_1	GZ_Rs_2	GZ_Rs_3	SX_Rs_1	SX_Rs_2	SX_Rs_3
ASV_443	49.0	0.0	0.0	84.0	36.0	29.0	35.0	69.0	118.0	0.0	43.0	0.0
ASV_687	0.0	0.0	96.0	78.0	93.0	195.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_228	76.0	22.0	68.0	158.0	67.0	35.0	0.0	0.0	0.0	0.0	30.0	0.0
ASV_694	18.0	0.0	21.0	77.0	201.0	138.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_407	39.0	12.0	23.0	90.0	154.0	55.0	49.0	16.0	14.0	0.0	0.0	0.0
ASV_649	0.0	0.0	18.0	154.0	124.0	121.0	0.0	0.0	0.0	27.0	0.0	0.0
ASV_497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	333.0	109.0	0.0	0.0
ASV_722	0.0	0.0	0.0	4.0	0.0	0.0	103.0	23.0	56.0	165.0	17.0	74.0
ASV_724	0.0	0.0	0.0	0.0	0.0	0.0	166.0	62.0	118.0	54.0	0.0	41.0
ASV_738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	435.0	0.0	0.0
ASV_263	57.0	0.0	0.0	38.0	87.0	43.0	36.0	37.0	41.0	27.0	61.0	7.0
ASV_720	0.0	0.0	0.0	0.0	25.0	408.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_673	24.0	0.0	0.0	0.0	0.0	25.0	48.0	10.0	0.0	132.0	0.0	192.0
ASV_695	0.0	0.0	28.0	211.0	100.0	53.0	9.0	4.0	18.0	3.0	5.0	0.0
ASV_708	13.0	9.0	32.0	122.0	92.0	163.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_676	17.0	0.0	14.0	80.0	66.0	18.0	80.0	32.0	75.0	17.0	17.0	13.0
ASV_757	0.0	0.0	0.0	0.0	0.0	0.0	81.0	71.0	103.0	121.0	0.0	46.0
ASV_678	13.0	2.0	29.0	132.0	172.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_529	0.0	0.0	25.0	89.0	51.0	254.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_547	57.0	10.0	38.0	101.0	100.0	111.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_767	33.0	0.0	0.0	38.0	146.0	174.0	0.0	0.0	0.0	0.0	24.0	0.0
ASV_770	0.0	0.0	0.0	414.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_398	40.0	0.0	0.0	27.0	47.0	29.0	54.0	29.0	35.0	81.0	65.0	5.0
ASV_669	66.0	17.0	51.0	53.0	171.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_75	0.0	0.0	0.0	0.0	0.0	0.0	46.0	22.0	29.0	192.0	30.0	83.0
